-0.95,0.99,-0.35,0.72,0.96,0.76,0.0,0.0,0.0,-3.71,1.5,4.0
-0.95,0.99,-0.35,0.72,0.96,0.76,0.0,0.0,0.0,-3.71,1.5,4.0
-0.95,0.99,-0.35,0.72,0.96,0.76,0.0,0.0,0.0,-3.71,1.5,4.0
-0.95,0.99,-0.35,0.72,0.96,0.76,0.0,0.0,0.0,-3.71,1.5,4.0
-0.95,0.99,-0.35,0.72,0.96,0.76,0.0,0.0,0.0,-3.71,1.5,4.0
-0.95,0.99,-0.35,0.72,0.96,0.76,0.0,0.0,0.0,-3.71,1.5,4.0
-0.95,0.99,-0.35,0.72,0.96,0.76,0.0,0.0,0.0,-3.71,1.5,4.0
-0.95,0.99,-0.35,0.72,0.96,0.76,0.0,0.0,0.0,-3.71,1.5,4.0
-0.95,0.99,-0.35,0.72,0.96,0.76,0.0,0.0,0.0,-3.71,1.5,4.0
-0.95,0.99,-0.35,0.72,0.96,0.76,0.0,0.0,0.0,-3.71,1.5,4.0
-0.95,0.99,-0.35,0.71,0.96,0.76,0.0,0.0,0.0,-3.72,1.51,4.0
-0.95,0.99,-0.35,0.71,0.96,0.76,0.0,0.0,0.0,-3.72,1.5,4.0
-0.95,0.99,-0.35,0.71,0.96,0.76,0.0,0.0,0.0,-3.72,1.5,4.0
-0.95,0.99,-0.35,0.71,0.96,0.76,0.0,0.0,0.0,-3.72,1.5,4.0
-0.95,0.99,-0.35,0.71,0.96,0.76,0.0,0.0,0.0,-3.72,1.5,4.0
-0.95,0.99,-0.35,0.71,0.96,0.76,-0.0,-0.0,-0.0,-3.67,0.73,2.89
-0.96,0.98,-0.35,0.71,0.96,0.76,0.0,-0.0,-0.0,-3.65,0.53,2.63
-0.96,0.98,-0.35,0.7,0.96,0.77,0.0,-0.0,-0.0,-3.64,0.52,2.63
-0.96,0.98,-0.34,0.7,0.96,0.77,0.0,-0.0,-0.0,-3.61,0.38,2.44
-0.97,0.97,-0.34,0.69,0.96,0.78,0.0,-0.0,-0.0,-3.61,0.5,2.63
-0.97,0.97,-0.34,0.68,0.96,0.78,0.0,-0.0,-0.0,-3.6,0.49,2.64
-0.98,0.96,-0.33,0.68,0.96,0.79,0.0,-0.0,-0.0,-3.59,0.47,2.65
-0.98,0.96,-0.33,0.67,0.96,0.79,0.0,-0.0,-0.0,-3.56,0.33,2.45
-0.99,0.96,-0.33,0.67,0.96,0.79,0.0,-0.0,-0.0,-3.57,0.46,2.66
-0.99,0.95,-0.32,0.66,0.96,0.8,0.0,-0.0,-0.0,-3.5,0.18,2.27
-1.0,0.95,-0.32,0.66,0.96,0.8,0.0,-0.0,-0.0,-3.55,0.44,2.65
-1.0,0.94,-0.32,0.65,0.96,0.8,0.0,-0.0,-0.0,-3.53,0.42,2.67
-1.01,0.94,-0.31,0.65,0.96,0.81,0.0,-0.0,-0.0,-3.52,0.41,2.67
-1.01,0.94,-0.31,0.64,0.96,0.81,0.0,-0.0,-0.0,-3.43,0.14,2.31
-1.02,0.93,-0.31,0.64,0.96,0.81,0.0,-0.0,-0.0,-3.45,0.26,2.51
-1.02,0.93,-0.3,0.63,0.96,0.82,0.0,-0.0,-0.0,-3.44,0.25,2.5
-1.03,0.92,-0.3,0.63,0.97,0.82,0.0,-0.0,-0.0,-3.48,0.38,2.7
-1.03,0.92,-0.29,0.63,0.97,0.82,0.0,-0.0,-0.0,-3.46,0.37,2.7
-1.04,0.92,-0.29,0.62,0.97,0.82,0.0,-0.0,-0.0,-3.4,0.22,2.51
-1.04,0.91,-0.29,0.62,0.97,0.82,0.0,-0.0,-0.0,-3.44,0.36,2.71
-1.05,0.91,-0.28,0.62,0.97,0.83,0.0,-0.0,-0.0,-3.43,0.35,2.71
-1.05,0.9,-0.28,0.61,0.97,0.83,0.0,-0.0,-0.0,-3.42,0.34,2.72
-1.06,0.9,-0.28,0.61,0.97,0.83,0.0,-0.0,0.0,-3.41,0.32,2.73
-1.06,0.9,-0.27,0.61,0.97,0.83,0.0,-0.0,0.0,-3.4,0.32,2.74
-1.06,0.89,-0.27,0.6,0.97,0.83,0.0,-0.0,0.0,-3.39,0.31,2.74
-1.07,0.89,-0.26,0.6,0.97,0.83,0.0,-0.0,0.0,-3.18,-0.09,2.21
-1.07,0.88,-0.26,0.6,0.97,0.83,0.0,-0.0,0.0,-3.37,0.29,2.76
-1.08,0.88,-0.26,0.6,0.97,0.83,0.0,-0.0,0.0,-3.36,0.28,2.75
-1.08,0.87,-0.25,0.59,0.98,0.83,0.0,-0.0,0.0,-3.34,0.28,2.76
-1.09,0.87,-0.25,0.59,0.98,0.83,0.0,-0.0,0.0,-3.33,0.28,2.76
-1.09,0.87,-0.24,0.59,0.98,0.83,0.0,-0.0,0.0,-3.11,-0.12,2.25
-1.1,0.86,-0.24,0.59,0.98,0.83,0.0,-0.0,0.0,-3.24,0.13,2.61
-1.1,0.86,-0.24,0.58,0.98,0.83,0.0,-0.0,0.0,-3.07,-0.13,2.27
-1.1,0.85,-0.23,0.58,0.98,0.83,0.0,-0.0,0.0,-3.29,0.25,2.8
-1.11,0.85,-0.23,0.58,0.98,0.83,0.0,-0.0,0.0,-3.28,0.23,2.8
-1.11,0.84,-0.22,0.58,0.99,0.83,0.0,-0.0,0.0,-3.27,0.23,2.8
-1.12,0.84,-0.22,0.58,0.99,0.83,0.0,-0.0,0.0,-3.26,0.22,2.82
-1.12,0.83,-0.21,0.58,0.99,0.83,0.0,-0.0,0.0,-3.16,0.09,2.65
-1.12,0.83,-0.21,0.58,0.99,0.83,0.0,-0.0,0.0,-3.25,0.21,2.83
-1.13,0.83,-0.21,0.58,0.99,0.83,0.0,-0.0,0.0,-3.24,0.21,2.83
-1.13,0.82,-0.2,0.58,0.99,0.82,0.0,-0.0,0.0,-3.23,0.2,2.84
-1.14,0.82,-0.2,0.58,1.0,0.82,0.0,-0.0,0.0,-3.21,0.19,2.84
-1.14,0.82,-0.19,0.57,1.0,0.82,0.0,-0.0,0.0,-3.11,0.07,2.69
-1.14,0.81,-0.19,0.57,1.0,0.82,0.0,-0.0,0.0,-3.2,0.18,2.86
-1.15,0.81,-0.18,0.57,1.0,0.82,0.0,-0.0,0.0,-3.19,0.18,2.87
-1.15,0.8,-0.18,0.57,1.0,0.81,0.0,-0.0,0.0,-3.18,0.17,2.86
-1.15,0.8,-0.18,0.57,1.01,0.81,0.0,-0.0,0.0,-3.17,0.17,2.88
-1.15,0.8,-0.17,0.58,1.01,0.81,0.0,-0.0,0.0,-3.06,0.05,2.71
-1.16,0.79,-0.17,0.58,1.01,0.81,0.0,-0.0,0.0,-3.15,0.16,2.88
-1.16,0.79,-0.16,0.58,1.01,0.8,0.0,-0.0,0.0,-3.15,0.15,2.88
-1.16,0.79,-0.16,0.58,1.01,0.8,0.0,0.0,0.0,-3.14,0.15,2.9
-1.17,0.78,-0.16,0.58,1.02,0.8,0.0,0.0,0.0,-3.01,0.03,2.75
-1.17,0.78,-0.15,0.58,1.02,0.79,0.0,0.0,0.0,-3.12,0.14,2.92
-1.17,0.78,-0.15,0.58,1.02,0.79,0.0,0.0,0.0,-2.88,-0.08,2.61
-1.17,0.78,-0.14,0.58,1.02,0.78,0.0,0.0,0.0,-3.1,0.13,2.92
-1.18,0.77,-0.14,0.58,1.03,0.78,0.0,0.0,0.0,-3.1,0.13,2.94
-1.18,0.77,-0.14,0.58,1.03,0.77,0.0,0.0,0.0,-2.86,-0.08,2.63
-1.18,0.77,-0.13,0.59,1.03,0.77,0.0,0.0,0.0,-3.08,0.12,2.94
-1.18,0.77,-0.13,0.59,1.03,0.77,0.0,0.0,0.0,-3.07,0.11,2.95
-1.18,0.76,-0.13,0.59,1.04,0.76,0.0,0.0,0.0,-3.06,0.11,2.95
-1.19,0.76,-0.12,0.59,1.04,0.76,0.0,0.0,0.0,-3.06,0.11,2.96
-1.19,0.76,-0.12,0.59,1.04,0.75,0.0,0.0,0.0,-3.05,0.1,2.97
-1.19,0.76,-0.12,0.59,1.04,0.75,0.0,0.0,0.0,-3.04,0.1,2.97
-1.19,0.76,-0.11,0.6,1.05,0.74,0.0,0.0,0.0,-3.03,0.09,2.98
-1.19,0.76,-0.11,0.6,1.05,0.74,0.0,0.0,0.0,-3.03,0.09,2.98
-1.19,0.75,-0.11,0.6,1.05,0.73,0.0,0.0,0.0,-2.63,-0.2,2.57
-1.19,0.75,-0.1,0.6,1.06,0.72,0.0,0.0,0.0,-3.01,0.09,3.0
-1.19,0.75,-0.1,0.61,1.06,0.72,0.0,0.0,0.0,-3.01,0.08,3.01
-1.19,0.75,-0.1,0.61,1.06,0.71,0.0,0.0,0.0,-3.0,0.08,3.01
-1.2,0.75,-0.09,0.61,1.06,0.7,0.0,0.0,0.0,-2.99,0.07,3.02
-1.2,0.75,-0.09,0.61,1.07,0.7,0.0,0.0,0.0,-2.85,-0.02,2.9
-1.2,0.75,-0.09,0.62,1.07,0.69,0.0,0.0,0.0,-2.98,0.07,3.03
-1.2,0.75,-0.09,0.62,1.07,0.68,0.0,0.0,0.0,-2.97,0.07,3.04
-1.2,0.75,-0.08,0.62,1.07,0.68,0.0,0.0,0.0,-2.96,0.07,3.04
-1.2,0.75,-0.08,0.63,1.08,0.67,0.0,0.0,0.0,-2.82,-0.02,2.92
-1.2,0.75,-0.08,0.63,1.08,0.66,0.0,0.0,0.0,-2.95,0.06,3.05
-1.2,0.75,-0.08,0.63,1.08,0.66,0.0,0.0,0.0,-2.96,0.05,3.06
-1.2,0.75,-0.07,0.64,1.08,0.65,0.0,0.0,0.0,-2.8,-0.03,2.93
-1.2,0.75,-0.07,0.64,1.09,0.64,0.0,0.0,0.0,-2.94,0.05,3.06
-1.2,0.75,-0.07,0.64,1.09,0.63,0.0,0.0,0.0,-2.93,0.04,3.08
-1.2,0.75,-0.07,0.65,1.09,0.63,0.0,0.0,0.0,-2.93,0.05,3.08
-1.2,0.75,-0.07,0.65,1.09,0.62,0.0,0.0,0.0,-2.92,0.05,3.1
-1.19,0.75,-0.07,0.66,1.09,0.61,0.0,0.0,0.0,-2.92,0.04,3.1
-1.19,0.76,-0.06,0.66,1.1,0.6,0.0,0.0,0.0,-2.6,-0.11,2.85
-1.19,0.76,-0.06,0.67,1.1,0.59,0.0,0.0,0.0,-2.6,-0.11,2.86
-1.19,0.76,-0.06,0.67,1.1,0.58,0.0,0.0,0.0,-2.9,0.03,3.12
-1.19,0.76,-0.06,0.68,1.1,0.58,0.0,0.0,0.0,-2.89,0.03,3.13
-1.19,0.76,-0.06,0.68,1.1,0.57,0.0,0.0,0.0,-2.88,0.02,3.13
-1.19,0.77,-0.06,0.69,1.1,0.56,0.0,0.0,0.0,-2.72,-0.05,3.01
-1.19,0.77,-0.06,0.69,1.11,0.55,0.0,0.0,0.0,-2.87,0.02,3.14
-1.18,0.77,-0.06,0.7,1.11,0.54,0.0,0.0,0.0,-2.87,0.01,3.15
-1.18,0.77,-0.06,0.7,1.11,0.53,0.0,0.0,0.0,-2.86,0.01,3.15
-1.18,0.78,-0.06,0.71,1.11,0.52,0.0,0.0,0.0,-2.86,0.01,3.16
-1.18,0.78,-0.06,0.71,1.11,0.51,0.0,0.0,0.0,-2.69,-0.05,3.05
-1.18,0.78,-0.06,0.72,1.11,0.5,0.0,0.0,0.0,-2.85,0.01,3.18
-1.17,0.79,-0.06,0.72,1.11,0.5,0.0,0.0,0.0,-2.84,0.01,3.18
-1.17,0.79,-0.06,0.73,1.11,0.49,0.0,0.0,0.0,-2.68,-0.06,3.07
-1.17,0.8,-0.06,0.73,1.11,0.48,0.0,0.0,0.0,-2.67,-0.06,3.07
-1.17,0.8,-0.06,0.74,1.11,0.47,0.0,0.0,0.0,-2.83,-0.0,3.2
-1.16,0.8,-0.06,0.74,1.11,0.46,0.0,0.0,0.0,-2.82,-0.0,3.2
-1.16,0.81,-0.07,0.75,1.11,0.45,0.0,0.0,0.0,-2.82,-0.01,3.2
-1.16,0.81,-0.07,0.76,1.11,0.44,0.0,0.0,0.0,-2.82,-0.02,3.22
-1.15,0.82,-0.07,0.76,1.11,0.43,0.0,0.0,0.0,-2.8,-0.01,3.22
-1.15,0.82,-0.07,0.77,1.11,0.42,0.0,0.0,0.0,-2.46,-0.11,3.01
-1.15,0.83,-0.07,0.78,1.11,0.41,0.0,0.0,0.0,-2.79,-0.02,3.23
-1.14,0.83,-0.08,0.78,1.11,0.4,0.0,0.0,0.0,-2.79,-0.03,3.24
-1.14,0.84,-0.08,0.79,1.11,0.39,0.0,0.0,0.0,-2.62,-0.07,3.15
-1.13,0.84,-0.08,0.8,1.11,0.38,0.0,0.0,0.0,-2.78,-0.03,3.25
-1.13,0.85,-0.09,0.8,1.1,0.37,0.0,0.0,0.0,-2.6,-0.07,3.15
-1.12,0.85,-0.09,0.81,1.1,0.36,0.0,0.0,0.0,-2.77,-0.04,3.26
-1.12,0.86,-0.09,0.82,1.1,0.35,0.0,0.0,0.0,-2.77,-0.04,3.27
-1.11,0.87,-0.1,0.82,1.1,0.34,0.0,0.0,0.0,-2.59,-0.08,3.17
-1.11,0.87,-0.1,0.83,1.1,0.33,0.0,0.0,0.0,-2.76,-0.04,3.28
-1.1,0.88,-0.1,0.84,1.09,0.32,0.0,0.0,0.0,-2.76,-0.04,3.29
-1.1,0.88,-0.11,0.85,1.09,0.31,0.0,0.0,0.0,-2.75,-0.11,3.29
-1.09,0.89,-0.11,0.85,1.09,0.3,0.0,0.0,0.0,-2.75,-0.05,3.29
-1.09,0.9,-0.12,0.86,1.08,0.3,0.0,0.0,0.0,-2.57,-0.09,3.2
-1.08,0.9,-0.12,0.87,1.08,0.29,0.0,0.0,0.0,-2.74,-0.06,3.31
-1.08,0.91,-0.13,0.88,1.08,0.28,0.0,0.0,0.0,-2.74,-0.07,3.32
-1.07,0.92,-0.13,0.88,1.07,0.27,0.0,0.0,0.0,-2.73,-0.07,3.32
-1.06,0.92,-0.14,0.89,1.07,0.26,0.0,0.0,0.0,-2.55,-0.1,3.23
-1.06,0.93,-0.15,0.9,1.06,0.25,-0.0,0.0,0.0,-2.54,-0.1,3.23
-1.05,0.94,-0.15,0.91,1.06,0.24,-0.0,0.0,0.0,-2.72,-0.08,3.34
-1.04,0.94,-0.16,0.91,1.05,0.24,-0.0,0.0,0.0,-2.71,-0.08,3.34
-1.04,0.95,-0.16,0.92,1.05,0.23,-0.0,0.0,0.0,-2.16,-0.14,3.08
-1.03,0.96,-0.17,0.93,1.04,0.22,-0.0,0.0,0.0,-2.7,-0.09,3.35
-1.02,0.96,-0.18,0.94,1.04,0.21,-0.0,0.0,0.0,-2.7,-0.09,3.36
-1.02,0.97,-0.18,0.95,1.03,0.21,-0.0,0.0,0.0,-2.69,-0.09,3.36
-1.01,0.98,-0.19,0.96,1.03,0.2,-0.0,0.0,-0.0,-2.5,-0.11,3.28
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
-1.0,0.98,-0.2,0.96,1.02,0.19,-0.0,0.0,-0.0,-3.98,0.0,3.98
