I0,Prv_I0,Write permission,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
6.0,2.0,0.0,21051.0,166.0,0.0,0.0,0.0
7.0,6.0,0.0,21087.0,201.5,0.0,0.0,0.0
7.0,7.0,0.0,21115.0,229.5,0.0,0.0,0.0
8.0,7.0,0.0,21145.0,259.7,0.0,0.0,0.0
9.0,8.0,0.0,21175.0,289.7,0.0,0.0,0.0
9.0,9.0,0.0,21207.0,321.7,0.0,0.0,0.0
10.0,9.0,0.0,21238.0,352.6,0.0,0.0,0.0
11.0,10.0,1.0,21267.0,382.1,382.1,141.0,1.0
14.0,11.0,0.0,0.0,537.3,0.0,0.0,0.0
14.0,14.0,0.0,26.0,563.4,0.0,0.0,0.0
15.0,14.0,0.0,56.0,593.4,0.0,0.0,0.0
16.0,15.0,0.0,85.0,622.7,0.0,0.0,0.0
16.0,16.0,0.0,116.0,653.4,0.0,0.0,0.0
17.0,16.0,0.0,151.0,688.9,0.0,0.0,0.0
18.0,17.0,0.0,176.0,713.4,0.0,0.0,0.0
18.0,18.0,0.0,206.0,743.6,0.0,0.0,0.0
19.0,18.0,0.0,236.0,773.9,0.0,0.0,0.0
2.0,19.0,1.0,267.0,804.6,804.6,139.0,2.0
5.0,2.0,0.0,0.0,954.0,0.0,0.0,0.0
5.0,5.0,0.0,30.0,984.8,0.0,0.0,0.0
6.0,5.0,0.0,61.0,1015.1,0.0,0.0,0.0
7.0,6.0,0.0,95.0,1049.6,0.0,0.0,0.0
8.0,7.0,0.0,125.0,1079.5,0.0,0.0,0.0
8.0,8.0,0.0,156.0,1110.0,0.0,0.0,0.0
9.0,8.0,0.0,187.0,1141.3,0.0,0.0,0.0
9.0,9.0,0.0,217.0,1171.4,0.0,0.0,0.0
10.0,9.0,0.0,247.0,1201.0,0.0,0.0,0.0
11.0,10.0,1.0,277.0,1231.7,1231.7,148.0,1.0
14.0,11.0,0.0,0.0,1390.1,0.0,0.0,0.0
15.0,14.0,0.0,27.0,1417.4,0.0,0.0,0.0
15.0,15.0,0.0,56.0,1446.5,0.0,0.0,0.0
16.0,15.0,0.0,87.0,1477.5,0.0,0.0,0.0
17.0,16.0,0.0,117.0,1507.6,0.0,0.0,0.0
17.0,17.0,0.0,147.0,1537.5,0.0,0.0,0.0
18.0,17.0,0.0,176.0,1567.0,0.0,0.0,0.0
18.0,18.0,0.0,207.0,1597.7,0.0,0.0,0.0
19.0,18.0,0.0,235.0,1626.0,0.0,0.0,0.0
2.0,19.0,1.0,270.0,1660.9,1660.9,134.0,2.0
5.0,2.0,0.0,0.0,1801.4,0.0,0.0,0.0
5.0,5.0,0.0,27.0,1829.1,0.0,0.0,0.0
6.0,5.0,0.0,57.0,1859.4,0.0,0.0,0.0
7.0,6.0,0.0,92.0,1894.4,0.0,0.0,0.0
7.0,7.0,0.0,118.0,1919.5,0.0,0.0,0.0
8.0,7.0,0.0,147.0,1949.3,0.0,0.0,0.0
9.0,8.0,0.0,183.0,1984.6,0.0,0.0,0.0
9.0,9.0,0.0,208.0,2009.7,0.0,0.0,0.0
10.0,9.0,0.0,243.0,2044.5,0.0,0.0,0.0
11.0,10.0,1.0,267.0,2068.9,2068.9,154.0,1.0
14.0,11.0,0.0,0.0,2232.7,0.0,0.0,0.0
15.0,14.0,0.0,32.0,2265.5,0.0,0.0,0.0
15.0,15.0,0.0,57.0,2290.3,0.0,0.0,0.0
16.0,15.0,0.0,87.0,2320.7,0.0,0.0,0.0
17.0,16.0,0.0,118.0,2351.4,0.0,0.0,0.0
17.0,17.0,0.0,147.0,2380.7,0.0,0.0,0.0
18.0,17.0,0.0,183.0,2416.1,0.0,0.0,0.0
19.0,18.0,0.0,208.0,2440.9,0.0,0.0,0.0
19.0,19.0,0.0,238.0,2471.5,0.0,0.0,0.0
2.0,19.0,1.0,268.0,2501.7,2501.7,143.0,2.0
5.0,2.0,0.0,0.0,2653.8,0.0,0.0,0.0
6.0,5.0,0.0,35.0,2689.3,0.0,0.0,0.0
6.0,6.0,0.0,61.0,2714.9,0.0,0.0,0.0
7.0,6.0,0.0,93.0,2747.7,0.0,0.0,0.0
8.0,7.0,0.0,128.0,2782.6,0.0,0.0,0.0
8.0,8.0,0.0,153.0,2807.6,0.0,0.0,0.0
9.0,8.0,0.0,187.0,2841.0,0.0,0.0,0.0
10.0,9.0,0.0,216.0,2870.5,0.0,0.0,0.0
10.0,10.0,0.0,245.0,2899.5,0.0,0.0,0.0
11.0,10.0,1.0,277.0,2931.0,2931.0,141.0,1.0
14.0,11.0,0.0,0.0,3082.7,0.0,0.0,0.0
15.0,14.0,0.0,30.0,3113.2,0.0,0.0,0.0
16.0,15.0,0.0,61.0,3144.5,0.0,0.0,0.0
16.0,16.0,0.0,90.0,3172.9,0.0,0.0,0.0
17.0,16.0,0.0,120.0,3203.4,0.0,0.0,0.0
17.0,17.0,0.0,150.0,3233.5,0.0,0.0,0.0
18.0,17.0,0.0,180.0,3262.8,0.0,0.0,0.0
19.0,18.0,0.0,211.0,3294.5,0.0,0.0,0.0
19.0,19.0,0.0,241.0,3324.6,0.0,0.0,0.0
2.0,19.0,1.0,272.0,3355.4,3355.4,139.0,2.0
5.0,2.0,0.0,0.0,3505.5,0.0,0.0,0.0
6.0,5.0,0.0,31.0,3536.7,0.0,0.0,0.0
7.0,6.0,0.0,60.0,3565.8,0.0,0.0,0.0
7.0,7.0,0.0,90.0,3596.5,0.0,0.0,0.0
8.0,7.0,0.0,123.0,3628.8,0.0,0.0,0.0
9.0,8.0,0.0,154.0,3659.7,0.0,0.0,0.0
9.0,9.0,0.0,184.0,3689.7,0.0,0.0,0.0
10.0,9.0,0.0,216.0,3722.4,0.0,0.0,0.0
11.0,10.0,1.0,248.0,3753.5,3753.5,141.0,1.0
14.0,11.0,0.0,0.0,3907.4,0.0,0.0,0.0
14.0,14.0,0.0,30.0,3937.5,0.0,0.0,0.0
15.0,14.0,0.0,60.0,3967.5,0.0,0.0,0.0
16.0,15.0,0.0,82.0,3989.7,0.0,0.0,0.0
16.0,16.0,0.0,115.0,4022.8,0.0,0.0,0.0
17.0,16.0,0.0,145.0,4052.8,0.0,0.0,0.0
18.0,17.0,0.0,174.0,4081.5,0.0,0.0,0.0
19.0,18.0,0.0,226.0,4133.7,0.0,0.0,0.0
19.0,19.0,0.0,257.0,4164.6,0.0,0.0,0.0
2.0,19.0,1.0,290.0,4197.5,4197.5,133.0,2.0
5.0,2.0,0.0,0.0,4337.6,0.0,0.0,0.0
6.0,5.0,0.0,30.0,4367.6,0.0,0.0,0.0
6.0,6.0,0.0,64.0,4401.8,0.0,0.0,0.0
7.0,6.0,0.0,94.0,4432.4,0.0,0.0,0.0
8.0,7.0,0.0,124.0,4462.4,0.0,0.0,0.0
8.0,8.0,0.0,155.0,4493.1,0.0,0.0,0.0
9.0,8.0,0.0,187.0,4525.3,0.0,0.0,0.0
10.0,9.0,0.0,217.0,4555.4,0.0,0.0,0.0
10.0,10.0,0.0,252.0,4589.7,0.0,0.0,0.0
11.0,10.0,1.0,282.0,4619.9,4619.9,141.0,1.0
14.0,11.0,0.0,0.0,4771.0,0.0,0.0,0.0
15.0,14.0,0.0,34.0,4805.8,0.0,0.0,0.0
15.0,15.0,0.0,60.0,4831.6,0.0,0.0,0.0
16.0,15.0,0.0,108.0,4879.2,0.0,0.0,0.0
17.0,16.0,0.0,141.0,4912.1,0.0,0.0,0.0
18.0,17.0,0.0,170.0,4942.0,0.0,0.0,0.0
18.0,18.0,0.0,201.0,4972.6,0.0,0.0,0.0
19.0,18.0,0.0,231.0,5003.0,0.0,0.0,0.0
2.0,19.0,1.0,267.0,5038.0,5038.0,137.0,2.0
5.0,2.0,0.0,0.0,5185.4,0.0,0.0,0.0
6.0,5.0,0.0,34.0,5219.5,0.0,0.0,0.0
6.0,6.0,0.0,64.0,5250.3,0.0,0.0,0.0
7.0,6.0,0.0,94.0,5279.6,0.0,0.0,0.0
8.0,7.0,0.0,124.0,5309.5,0.0,0.0,0.0
8.0,8.0,0.0,156.0,5341.5,0.0,0.0,0.0
9.0,8.0,0.0,184.0,5369.6,0.0,0.0,0.0
10.0,9.0,0.0,214.0,5400.4,0.0,0.0,0.0
10.0,10.0,0.0,244.0,5430.2,0.0,0.0,0.0
11.0,10.0,1.0,275.0,5460.5,5460.5,135.0,1.0
14.0,11.0,0.0,0.0,5605.6,0.0,0.0,0.0
15.0,14.0,0.0,41.0,5646.7,0.0,0.0,0.0
15.0,15.0,0.0,69.0,5675.4,0.0,0.0,0.0
16.0,15.0,0.0,102.0,5707.8,0.0,0.0,0.0
17.0,16.0,0.0,135.0,5741.5,0.0,0.0,0.0
17.0,17.0,0.0,166.0,5771.8,0.0,0.0,0.0
18.0,17.0,0.0,196.0,5802.0,0.0,0.0,0.0
19.0,18.0,0.0,228.0,5834.0,0.0,0.0,0.0
19.0,19.0,0.0,258.0,5864.5,0.0,0.0,0.0
2.0,19.0,1.0,288.0,5894.1,5894.1,136.0,2.0
5.0,2.0,0.0,0.0,6041.7,0.0,0.0,0.0
6.0,5.0,0.0,27.0,6068.8,0.0,0.0,0.0
6.0,6.0,0.0,55.0,6097.4,0.0,0.0,0.0
7.0,6.0,0.0,85.0,6127.7,0.0,0.0,0.0
8.0,7.0,0.0,116.0,6157.9,0.0,0.0,0.0
8.0,8.0,0.0,145.0,6187.6,0.0,0.0,0.0
9.0,8.0,0.0,175.0,6217.6,0.0,0.0,0.0
10.0,9.0,0.0,205.0,6247.5,0.0,0.0,0.0
10.0,10.0,0.0,236.0,6277.9,0.0,0.0,0.0
11.0,10.0,1.0,267.0,6309.4,6309.4,157.0,1.0
14.0,11.0,0.0,0.0,6475.1,0.0,0.0,0.0
15.0,14.0,0.0,28.0,6503.5,0.0,0.0,0.0
16.0,15.0,0.0,63.0,6538.5,0.0,0.0,0.0
16.0,16.0,0.0,91.0,6567.0,0.0,0.0,0.0
17.0,16.0,0.0,121.0,6596.8,0.0,0.0,0.0
18.0,17.0,0.0,152.0,6627.7,0.0,0.0,0.0
18.0,18.0,0.0,182.0,6657.8,0.0,0.0,0.0
19.0,18.0,0.0,212.0,6687.3,0.0,0.0,0.0
2.0,19.0,1.0,242.0,6717.6,6717.6,136.0,2.0
5.0,2.0,0.0,0.0,6865.3,0.0,0.0,0.0
5.0,5.0,0.0,25.0,6890.4,0.0,0.0,0.0
6.0,5.0,0.0,58.0,6923.4,0.0,0.0,0.0
7.0,6.0,0.0,91.0,6956.6,0.0,0.0,0.0
7.0,7.0,0.0,118.0,6983.4,0.0,0.0,0.0
8.0,7.0,0.0,148.0,7013.6,0.0,0.0,0.0
9.0,8.0,0.0,177.0,7042.6,0.0,0.0,0.0
9.0,9.0,0.0,208.0,7073.7,0.0,0.0,0.0
10.0,9.0,0.0,238.0,7104.3,0.0,0.0,0.0
10.0,10.0,0.0,268.0,7133.6,0.0,0.0,0.0
11.0,10.0,1.0,298.0,7163.3,7163.3,145.0,1.0
14.0,11.0,0.0,0.0,7319.2,0.0,0.0,0.0
15.0,14.0,0.0,31.0,7350.5,0.0,0.0,0.0
16.0,15.0,0.0,63.0,7382.4,0.0,0.0,0.0
16.0,16.0,0.0,93.0,7412.8,0.0,0.0,0.0
17.0,16.0,0.0,124.0,7443.5,0.0,0.0,0.0
18.0,17.0,0.0,158.0,7477.7,0.0,0.0,0.0
18.0,18.0,0.0,183.0,7502.7,0.0,0.0,0.0
19.0,18.0,0.0,213.0,7533.0,0.0,0.0,0.0
2.0,19.0,1.0,244.0,7563.4,7563.4,135.0,2.0
5.0,2.0,0.0,0.0,7709.4,0.0,0.0,0.0
5.0,5.0,0.0,24.0,7733.6,0.0,0.0,0.0
6.0,5.0,0.0,57.0,7767.2,0.0,0.0,0.0
7.0,6.0,0.0,92.0,7802.4,0.0,0.0,0.0
7.0,7.0,0.0,119.0,7828.8,0.0,0.0,0.0
8.0,7.0,0.0,152.0,7861.5,0.0,0.0,0.0
9.0,8.0,0.0,184.0,7893.5,0.0,0.0,0.0
9.0,9.0,0.0,215.0,7924.6,0.0,0.0,0.0
10.0,9.0,0.0,248.0,7957.6,0.0,0.0,0.0
11.0,10.0,1.0,280.0,7990.2,7990.2,135.0,1.0
14.0,11.0,0.0,0.0,8136.7,0.0,0.0,0.0
15.0,14.0,0.0,28.0,8165.5,0.0,0.0,0.0
15.0,15.0,0.0,60.0,8197.0,0.0,0.0,0.0
16.0,15.0,0.0,89.0,8226.5,0.0,0.0,0.0
16.0,16.0,0.0,119.0,8256.6,0.0,0.0,0.0
17.0,16.0,0.0,149.0,8286.6,0.0,0.0,0.0
18.0,17.0,0.0,185.0,8322.3,0.0,0.0,0.0
18.0,18.0,0.0,210.0,8347.3,0.0,0.0,0.0
19.0,18.0,0.0,241.0,8378.4,0.0,0.0,0.0
2.0,19.0,1.0,270.0,8407.3,8407.3,138.0,2.0
5.0,2.0,0.0,0.0,8556.0,0.0,0.0,0.0
6.0,5.0,0.0,30.0,8586.7,0.0,0.0,0.0
6.0,6.0,0.0,61.0,8617.9,0.0,0.0,0.0
7.0,6.0,0.0,93.0,8649.2,0.0,0.0,0.0
8.0,7.0,0.0,122.0,8678.8,0.0,0.0,0.0
8.0,8.0,0.0,153.0,8709.1,0.0,0.0,0.0
9.0,8.0,0.0,183.0,8739.5,0.0,0.0,0.0
9.0,9.0,0.0,213.0,8769.1,0.0,0.0,0.0
10.0,9.0,0.0,243.0,8799.5,0.0,0.0,0.0
11.0,10.0,1.0,277.0,8834.0,8834.0,150.0,1.0
14.0,11.0,0.0,0.0,8993.5,0.0,0.0,0.0
15.0,14.0,0.0,24.0,9017.9,0.0,0.0,0.0
15.0,15.0,0.0,55.0,9048.9,0.0,0.0,0.0
16.0,15.0,0.0,83.0,9077.5,0.0,0.0,0.0
17.0,16.0,0.0,115.0,9109.4,0.0,0.0,0.0
17.0,17.0,0.0,147.0,9141.2,0.0,0.0,0.0
18.0,17.0,0.0,177.0,9171.5,0.0,0.0,0.0
19.0,18.0,0.0,212.0,9205.7,0.0,0.0,0.0
19.0,19.0,0.0,238.0,9231.5,0.0,0.0,0.0
2.0,19.0,1.0,267.0,9261.5,9261.5,149.0,2.0
5.0,2.0,0.0,0.0,9419.8,0.0,0.0,0.0
6.0,5.0,0.0,32.0,9452.2,0.0,0.0,0.0
7.0,6.0,0.0,62.0,9482.6,0.0,0.0,0.0
7.0,7.0,0.0,92.0,9512.7,0.0,0.0,0.0
8.0,7.0,0.0,123.0,9542.8,0.0,0.0,0.0
9.0,8.0,0.0,156.0,9575.8,0.0,0.0,0.0
9.0,9.0,0.0,182.0,9601.9,0.0,0.0,0.0
10.0,9.0,0.0,213.0,9633.1,0.0,0.0,0.0
11.0,10.0,1.0,243.0,9663.5,9663.5,138.0,1.0
14.0,11.0,0.0,0.0,9811.5,0.0,0.0,0.0
14.0,14.0,0.0,21.0,9833.5,0.0,0.0,0.0
15.0,14.0,0.0,56.0,9867.8,0.0,0.0,0.0
16.0,15.0,0.0,90.0,9902.1,0.0,0.0,0.0
16.0,16.0,0.0,115.0,9927.5,0.0,0.0,0.0
17.0,16.0,0.0,149.0,9960.8,0.0,0.0,0.0
18.0,17.0,0.0,182.0,9993.9,0.0,0.0,0.0
18.0,18.0,0.0,212.0,10024.5,0.0,0.0,0.0
19.0,18.0,0.0,243.0,10054.6,0.0,0.0,0.0
2.0,19.0,1.0,278.0,10089.6,10089.6,146.0,2.0
5.0,2.0,0.0,0.0,10241.3,0.0,0.0,0.0
6.0,5.0,0.0,32.0,10273.5,0.0,0.0,0.0
6.0,6.0,0.0,62.0,10303.4,0.0,0.0,0.0
7.0,6.0,0.0,92.0,10333.6,0.0,0.0,0.0
8.0,7.0,0.0,122.0,10363.5,0.0,0.0,0.0
8.0,8.0,0.0,152.0,10394.1,0.0,0.0,0.0
9.0,8.0,0.0,182.0,10423.5,0.0,0.0,0.0
10.0,9.0,0.0,212.0,10453.4,0.0,0.0,0.0
10.0,10.0,0.0,243.0,10485.0,0.0,0.0,0.0
11.0,10.0,1.0,278.0,10519.6,10519.6,141.0,1.0
14.0,11.0,0.0,0.0,10666.7,0.0,0.0,0.0
15.0,14.0,0.0,28.0,10695.4,0.0,0.0,0.0
15.0,15.0,0.0,59.0,10725.7,0.0,0.0,0.0
16.0,15.0,0.0,88.0,10755.7,0.0,0.0,0.0
17.0,16.0,0.0,123.0,10789.8,0.0,0.0,0.0
18.0,17.0,0.0,152.0,10819.7,0.0,0.0,0.0
18.0,18.0,0.0,183.0,10850.1,0.0,0.0,0.0
19.0,18.0,0.0,215.0,10882.1,0.0,0.0,0.0
19.0,19.0,0.0,245.0,10912.2,0.0,0.0,0.0
2.0,19.0,1.0,275.0,10942.2,10942.2,144.0,2.0
5.0,2.0,0.0,0.0,11097.6,0.0,0.0,0.0
6.0,5.0,0.0,29.0,11127.2,0.0,0.0,0.0
7.0,6.0,0.0,59.0,11157.4,0.0,0.0,0.0
7.0,7.0,0.0,89.0,11186.8,0.0,0.0,0.0
8.0,7.0,0.0,120.0,11217.6,0.0,0.0,0.0
9.0,8.0,0.0,150.0,11247.8,0.0,0.0,0.0
9.0,9.0,0.0,184.0,11281.9,0.0,0.0,0.0
10.0,9.0,0.0,215.0,11312.7,0.0,0.0,0.0
11.0,10.0,1.0,244.0,11342.2,11342.2,144.0,1.0
14.0,11.0,0.0,0.0,11501.2,0.0,0.0,0.0
14.0,14.0,0.0,24.0,11525.7,0.0,0.0,0.0
15.0,14.0,0.0,55.0,11556.7,0.0,0.0,0.0
16.0,15.0,0.0,88.0,11589.4,0.0,0.0,0.0
16.0,16.0,0.0,117.0,11618.9,0.0,0.0,0.0
17.0,16.0,0.0,148.0,11649.6,0.0,0.0,0.0
18.0,17.0,0.0,178.0,11679.8,0.0,0.0,0.0
18.0,18.0,0.0,207.0,11709.1,0.0,0.0,0.0
19.0,18.0,0.0,238.0,11739.3,0.0,0.0,0.0
2.0,19.0,1.0,268.0,11769.4,11769.4,137.0,2.0
5.0,2.0,0.0,0.0,11918.3,0.0,0.0,0.0
5.0,5.0,0.0,23.0,11941.5,0.0,0.0,0.0
6.0,5.0,0.0,55.0,11973.4,0.0,0.0,0.0
7.0,6.0,0.0,85.0,12003.7,0.0,0.0,0.0
7.0,7.0,0.0,114.0,12032.9,0.0,0.0,0.0
8.0,7.0,0.0,149.0,12067.8,0.0,0.0,0.0
9.0,8.0,0.0,175.0,12093.5,0.0,0.0,0.0
9.0,9.0,0.0,205.0,12123.7,0.0,0.0,0.0
10.0,9.0,0.0,234.0,12153.0,0.0,0.0,0.0
11.0,10.0,1.0,265.0,12183.5,12183.5,153.0,1.0
14.0,11.0,0.0,0.0,12347.1,0.0,0.0,0.0
15.0,14.0,0.0,34.0,12381.3,0.0,0.0,0.0
15.0,15.0,0.0,66.0,12413.2,0.0,0.0,0.0
16.0,15.0,0.0,96.0,12443.5,0.0,0.0,0.0
17.0,16.0,0.0,127.0,12474.4,0.0,0.0,0.0
17.0,17.0,0.0,158.0,12505.6,0.0,0.0,0.0
18.0,17.0,0.0,188.0,12535.7,0.0,0.0,0.0
19.0,18.0,0.0,223.0,12570.3,0.0,0.0,0.0
19.0,19.0,0.0,248.0,12595.6,0.0,0.0,0.0
2.0,19.0,1.0,281.0,12628.3,12628.3,146.0,2.0
5.0,2.0,0.0,0.0,12780.5,0.0,0.0,0.0
6.0,5.0,0.0,28.0,12809.2,0.0,0.0,0.0
7.0,6.0,0.0,58.0,12839.2,0.0,0.0,0.0
7.0,7.0,0.0,88.0,12869.5,0.0,0.0,0.0
8.0,7.0,0.0,120.0,12901.0,0.0,0.0,0.0
9.0,8.0,0.0,151.0,12931.9,0.0,0.0,0.0
9.0,9.0,0.0,186.0,12966.7,0.0,0.0,0.0
10.0,9.0,0.0,215.0,12995.6,0.0,0.0,0.0
10.0,10.0,0.0,244.0,13025.4,0.0,0.0,0.0
11.0,10.0,1.0,275.0,13055.5,13055.5,143.0,1.0
14.0,11.0,0.0,0.0,13209.3,0.0,0.0,0.0
15.0,14.0,0.0,29.0,13239.0,0.0,0.0,0.0
16.0,15.0,0.0,64.0,13273.4,0.0,0.0,0.0
17.0,16.0,0.0,93.0,13303.2,0.0,0.0,0.0
17.0,17.0,0.0,123.0,13333.1,0.0,0.0,0.0
18.0,17.0,0.0,156.0,13365.8,0.0,0.0,0.0
18.0,18.0,0.0,187.0,13396.6,0.0,0.0,0.0
19.0,18.0,0.0,216.0,13426.2,0.0,0.0,0.0
2.0,19.0,1.0,248.0,13458.3,13458.3,143.0,2.0
5.0,2.0,0.0,0.0,13613.8,0.0,0.0,0.0
6.0,5.0,0.0,29.0,13642.3,0.0,0.0,0.0
6.0,6.0,0.0,57.0,13670.9,0.0,0.0,0.0
7.0,6.0,0.0,88.0,13702.1,0.0,0.0,0.0
8.0,7.0,0.0,123.0,13737.7,0.0,0.0,0.0
8.0,8.0,0.0,149.0,13763.0,0.0,0.0,0.0
9.0,8.0,0.0,182.0,13795.8,0.0,0.0,0.0
10.0,9.0,0.0,217.0,13831.2,0.0,0.0,0.0
10.0,10.0,0.0,247.0,13861.4,0.0,0.0,0.0
11.0,10.0,1.0,277.0,13891.6,13891.6,145.0,1.0
14.0,11.0,0.0,0.0,14047.6,0.0,0.0,0.0
15.0,14.0,0.0,26.0,14074.0,0.0,0.0,0.0
16.0,15.0,0.0,61.0,14109.5,0.0,0.0,0.0
16.0,16.0,0.0,85.0,14132.9,0.0,0.0,0.0
17.0,16.0,0.0,119.0,14167.4,0.0,0.0,0.0
18.0,17.0,0.0,153.0,14201.1,0.0,0.0,0.0
18.0,18.0,0.0,179.0,14227.5,0.0,0.0,0.0
19.0,18.0,0.0,222.0,14269.9,0.0,0.0,0.0
2.0,19.0,1.0,253.0,14301.0,14301.0,141.0,2.0
5.0,2.0,0.0,0.0,14451.8,0.0,0.0,0.0
6.0,5.0,0.0,34.0,14485.8,0.0,0.0,0.0
7.0,6.0,0.0,63.0,14515.6,0.0,0.0,0.0
7.0,7.0,0.0,94.0,14546.2,0.0,0.0,0.0
8.0,7.0,0.0,126.0,14578.0,0.0,0.0,0.0
9.0,8.0,0.0,155.0,14607.4,0.0,0.0,0.0
9.0,9.0,0.0,191.0,14642.8,0.0,0.0,0.0
10.0,9.0,0.0,221.0,14673.0,0.0,0.0,0.0
11.0,10.0,1.0,251.0,14703.0,14703.0,146.0,1.0
14.0,11.0,0.0,0.0,14861.0,0.0,0.0,0.0
15.0,14.0,0.0,26.0,14887.8,0.0,0.0,0.0
15.0,15.0,0.0,61.0,14922.8,0.0,0.0,0.0
16.0,15.0,0.0,92.0,14953.4,0.0,0.0,0.0
17.0,16.0,0.0,122.0,14983.4,0.0,0.0,0.0
17.0,17.0,0.0,152.0,15013.5,0.0,0.0,0.0
18.0,17.0,0.0,183.0,15044.5,0.0,0.0,0.0
19.0,18.0,0.0,213.0,15074.2,0.0,0.0,0.0
19.0,19.0,0.0,245.0,15106.3,0.0,0.0,0.0
2.0,19.0,1.0,276.0,15137.2,15137.2,149.0,2.0
5.0,2.0,0.0,0.0,15295.7,0.0,0.0,0.0
6.0,5.0,0.0,37.0,15332.9,0.0,0.0,0.0
7.0,6.0,0.0,61.0,15357.6,0.0,0.0,0.0
7.0,7.0,0.0,91.0,15387.6,0.0,0.0,0.0
